ICD10,PHECODE,Exl. Phecodes,Excl. Phenotypes
A06.4,8,001-009.99,Intestinal infection
A06.5,8,001-009.99,Intestinal infection
A06.6,8,001-009.99,Intestinal infection
A06.7,8,001-009.99,Intestinal infection
A06.8,8,001-009.99,Intestinal infection
A06.9,8,001-009.99,Intestinal infection
A07,8,001-009.99,Intestinal infection
A07.0,8.7,001-009.99,Intestinal infection
A07.1,8.7,001-009.99,Intestinal infection
A07.2,8.7,001-009.99,Intestinal infection
A07.3,8,001-009.99,Intestinal infection
A07.8,8.7,001-009.99,Intestinal infection
A07.9,8,001-009.99,Intestinal infection
A08,8.6,001-009.99,Intestinal infection
A08.0,8.6,001-009.99,Intestinal infection
A08.1,8.6,001-009.99,Intestinal infection
A08.2,8.6,001-009.99,Intestinal infection
A08.3,8.6,001-009.99,Intestinal infection
A08.4,8.6,001-009.99,Intestinal infection
A08.5,8.6,001-009.99,Intestinal infection
A09,8,001-009.99,Intestinal infection
A15.0,10,010-041.99,bacterial infection
A15.1,10,010-041.99,bacterial infection
A15.2,10,010-041.99,bacterial infection
A15.3,10,010-041.99,bacterial infection
A15.4,10,010-041.99,bacterial infection
A15.5,10,010-041.99,bacterial infection
A15.6,10,010-041.99,bacterial infection
A15.7,10,010-041.99,bacterial infection
A15.9,10,010-041.99,bacterial infection
A15.9,41,010-041.99,bacterial infection
A16,10,010-041.99,bacterial infection
A16.0,10,010-041.99,bacterial infection
A16.1,10,010-041.99,bacterial infection
A16.2,10,010-041.99,bacterial infection
A16.3,10,010-041.99,bacterial infection
A16.4,10,010-041.99,bacterial infection
A16.5,10,010-041.99,bacterial infection
A16.7,10,010-041.99,bacterial infection
A16.9,10,010-041.99,bacterial infection
A17,10,010-041.99,bacterial infection
A17.0,10,010-041.99,bacterial infection
A17.1,10,010-041.99,bacterial infection
A17.8,10,010-041.99,bacterial infection
A17.9,10,010-041.99,bacterial infection
A18,10,010-041.99,bacterial infection
A18.0,10,010-041.99,bacterial infection
A18.1,10,010-041.99,bacterial infection
A18.2,10,010-041.99,bacterial infection
A18.3,10,010-041.99,bacterial infection
A18.4,10,010-041.99,bacterial infection
A18.5,10,010-041.99,bacterial infection
A18.6,10,010-041.99,bacterial infection
A18.7,10,010-041.99,bacterial infection
A18.8,10,010-041.99,bacterial infection
A19,10,010-041.99,bacterial infection
A19.0,10,010-041.99,bacterial infection
A19.1,10,010-041.99,bacterial infection
A19.2,10,010-041.99,bacterial infection
A19.8,10,010-041.99,bacterial infection
A19.9,10,010-041.99,bacterial infection
A20,41,010-041.99,bacterial infection
A20.0,41,010-041.99,bacterial infection
A20.1,686,680-686.99,Skin and subcutaneous tissue infections
A20.2,480.1,480-488.99,Pneumonia and influenza
A20.3,41,010-041.99,bacterial infection
A20.7,38.1,010-041.99,bacterial infection
A20.8,41,010-041.99,bacterial infection
A20.9,41,010-041.99,bacterial infection
A21,41,010-041.99,bacterial infection
A21.0,686,680-686.99,Skin and subcutaneous tissue infections
A21.1,369,369-374.99,infection/inflammation of eye
A21.2,480.1,480-488.99,Pneumonia and influenza
A21.3,8,001-009.99,Intestinal infection
A21.7,41,010-041.99,bacterial infection
A21.8,41,010-041.99,bacterial infection
A21.9,41,010-041.99,bacterial infection
A22,41,010-041.99,bacterial infection
A22.0,686,680-686.99,Skin and subcutaneous tissue infections
A22.1,480.1,480-488.99,Pneumonia and influenza
A22.2,8,001-009.99,Intestinal infection
A22.7,38.2,010-041.99,bacterial infection
A22.8,41,010-041.99,bacterial infection
A22.9,41,010-041.99,bacterial infection
A23,41,010-041.99,bacterial infection
A23.0,41,010-041.99,bacterial infection
A23.1,41,010-041.99,bacterial infection
A23.2,41,010-041.99,bacterial infection
A23.3,41,010-041.99,bacterial infection
A23.8,41,010-041.99,bacterial infection
A23.9,41,010-041.99,bacterial infection
A24,41,010-041.99,bacterial infection
A24.0,41,010-041.99,bacterial infection
A24.1,41,010-041.99,bacterial infection
A24.2,41,010-041.99,bacterial infection
A24.3,41,010-041.99,bacterial infection
A24.4,41,010-041.99,bacterial infection
A25,41,010-041.99,bacterial infection
A25.0,41,010-041.99,bacterial infection
A25.1,711,710-716.99,Arthropathies
A25.9,41,010-041.99,bacterial infection
A26,41,010-041.99,bacterial infection
A26.0,529.1,527-529.99,Diseases of mouth; excluding dental
A26.0,41,010-041.99,bacterial infection
A26.7,41,010-041.99,bacterial infection
A26.7,994.2,994-994.99,Sepsis and SIRS
A26.8,41,010-041.99,bacterial infection
A26.9,41,010-041.99,bacterial infection
A27,130,130-136.99,Other infections; including parasitic
A27.0,130,130-136.99,Other infections; including parasitic
A27.8,130,130-136.99,Other infections; including parasitic
A27.9,130,130-136.99,Other infections; including parasitic
A28.0,41,010-041.99,bacterial infection
A28.1,79,050-079.99,Viral infection
A28.2,41,010-041.99,bacterial infection
A28.8,41,010-041.99,bacterial infection
A28.9,41,010-041.99,bacterial infection
A30,31.1,010-041.99,bacterial infection
A30.0,31.1,010-041.99,bacterial infection
A30.1,31.1,010-041.99,bacterial infection
A30.2,31.1,010-041.99,bacterial infection
A30.3,31.1,010-041.99,bacterial infection
A30.4,31.1,010-041.99,bacterial infection
A30.5,31.1,010-041.99,bacterial infection
A30.8,31.1,010-041.99,bacterial infection
A30.9,31.1,010-041.99,bacterial infection
A31.0,480.1,480-488.99,Pneumonia and influenza
A31.1,686,680-686.99,Skin and subcutaneous tissue infections
A31.8,31,010-041.99,bacterial infection
A31.9,31,010-041.99,bacterial infection
A32,41,010-041.99,bacterial infection
A32.0,41,010-041.99,bacterial infection
A32.1,41,010-041.99,bacterial infection
A32.7,41,010-041.99,bacterial infection
A32.8,41,010-041.99,bacterial infection
A32.9,41,010-041.99,bacterial infection
A33,657,657-657.99,Infections specific to the perinatal period
A34,639,634-639.99," miscarriage, early labor, hemorrhage"
A35,41,010-041.99,bacterial infection
A36,41,010-041.99,bacterial infection
A36.0,465,460-469.99,acute upper respiratory infections
A36.1,465,460-469.99,acute upper respiratory infections
A36.2,465,460-469.99,acute upper respiratory infections
A36.3,686,680-686.99,Skin and subcutaneous tissue infections
A36.8,41,010-041.99,bacterial infection
A36.9,41,010-041.99,bacterial infection
A37,41,010-041.99,bacterial infection
A37.0,41,010-041.99,bacterial infection
A37.1,41,010-041.99,bacterial infection
A37.9,41,010-041.99,bacterial infection
A38,41.2,010-041.99,bacterial infection
A39,41,010-041.99,bacterial infection
A39.0,320,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
A39.1,41,010-041.99,bacterial infection
A39.2,38.1,010-041.99,bacterial infection
A39.3,38.1,010-041.99,bacterial infection
A39.4,38.1,010-041.99,bacterial infection
A39.5,420,420-425.99,Other peri-; endo-; and myocarditis
A39.8,41,010-041.99,bacterial infection
A39.9,41,010-041.99,bacterial infection
A40,38.1,010-041.99,bacterial infection
A40.0,38.1,010-041.99,bacterial infection
A40.1,41.2,010-041.99,bacterial infection
A40.1,38.1,010-041.99,bacterial infection
A40.2,41.2,010-041.99,bacterial infection
A40.2,38.1,010-041.99,bacterial infection
A40.3,38.2,010-041.99,bacterial infection
A40.8,38.1,010-041.99,bacterial infection
A40.9,38.1,010-041.99,bacterial infection
A41.0,38.2,010-041.99,bacterial infection
A41.1,38.2,010-041.99,bacterial infection
A41.2,38.2,010-041.99,bacterial infection
A41.3,38.1,010-041.99,bacterial infection
A41.4,38,010-041.99,bacterial infection
A41.5,38.1,010-041.99,bacterial infection
A41.8,38,010-041.99,bacterial infection
A41.9,994.2,994-994.99,Sepsis and SIRS
A41.9,38,010-041.99,bacterial infection
A42,41,010-041.99,bacterial infection
A42.0,480.1,480-488.99,Pneumonia and influenza
A42.1,41,010-041.99,bacterial infection
A42.2,41,010-041.99,bacterial infection
A42.7,38,010-041.99,bacterial infection
A42.7,994.2,994-994.99,Sepsis and SIRS
A42.8,41,010-041.99,bacterial infection
A42.9,41,010-041.99,bacterial infection
A43,41,010-041.99,bacterial infection
A43.0,480.1,480-488.99,Pneumonia and influenza
A43.1,686,680-686.99,Skin and subcutaneous tissue infections
A43.8,41,010-041.99,bacterial infection
A43.9,41,010-041.99,bacterial infection
A44,133,130-136.99,Other infections; including parasitic
A44.0,133,130-136.99,Other infections; including parasitic
A44.1,133,130-136.99,Other infections; including parasitic
A44.8,133,130-136.99,Other infections; including parasitic
A44.9,133,130-136.99,Other infections; including parasitic
A46,686,680-686.99,Skin and subcutaneous tissue infections
A48.0,41,010-041.99,bacterial infection
A48.1,480.1,480-488.99,Pneumonia and influenza
A48.2,41,010-041.99,bacterial infection
A48.3,41,010-041.99,bacterial infection
A48.4,41,010-041.99,bacterial infection
A48.8,41,010-041.99,bacterial infection
A49,41,010-041.99,bacterial infection
A49.0,41.1,010-041.99,bacterial infection
A49.1,41.2,010-041.99,bacterial infection
A49.2,41,010-041.99,bacterial infection
A49.3,41,010-041.99,bacterial infection
A49.8,41,010-041.99,bacterial infection
A49.9,41,010-041.99,bacterial infection
A50,90,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A50.0,90,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A50.1,90,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A50.2,90,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A50.3,90,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A50.4,90,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A50.5,90,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A50.6,90,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A50.7,90,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A50.9,90,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A51,90,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A51.0,90,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A51.1,90,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A51.2,90,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A51.3,90,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A51.4,90,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A51.5,90,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A51.9,90,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A52,90,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A52.0,90,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A52.1,90,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A52.2,90,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A52.3,90,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A52.7,90,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A52.8,90,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A52.9,90,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A53,90,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A53.0,90,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A53.9,90,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A54,90.2,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A54.0,90.2,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A54.1,90.2,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A54.2,90.2,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A54.3,90.2,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A54.4,90.2,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A54.5,90.2,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A54.6,90.2,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A54.8,90.2,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A54.9,90.2,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A55,90,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A56.0,90.3,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A56.2,90.3,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A56.3,90.3,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A56.4,90.3,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A56.8,90.3,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A57,90,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A58,90,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A59,131,130-136.99,Other infections; including parasitic
A59.0,131,130-136.99,Other infections; including parasitic
A59.8,131,130-136.99,Other infections; including parasitic
A59.9,131,130-136.99,Other infections; including parasitic
A60,54,050-079.99,Viral infection
A60.0,54,050-079.99,Viral infection
A60.1,54,050-079.99,Viral infection
A60.9,54,050-079.99,Viral infection
A63.0,78,050-079.99,Viral infection
A63.8,90,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A64,90,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A65,130,130-136.99,Other infections; including parasitic
A66,130,130-136.99,Other infections; including parasitic
A66.0,130,130-136.99,Other infections; including parasitic
A66.1,130,130-136.99,Other infections; including parasitic
A66.2,130,130-136.99,Other infections; including parasitic
A66.3,130,130-136.99,Other infections; including parasitic
A66.4,130,130-136.99,Other infections; including parasitic
A66.5,130,130-136.99,Other infections; including parasitic
A66.6,130,130-136.99,Other infections; including parasitic
A66.7,130,130-136.99,Other infections; including parasitic
A66.8,130,130-136.99,Other infections; including parasitic
A66.9,130,130-136.99,Other infections; including parasitic
A67,130,130-136.99,Other infections; including parasitic
A67.0,130,130-136.99,Other infections; including parasitic
A67.1,130,130-136.99,Other infections; including parasitic
A67.2,130,130-136.99,Other infections; including parasitic
A67.3,130,130-136.99,Other infections; including parasitic
A67.9,130,130-136.99,Other infections; including parasitic
A68,130,130-136.99,Other infections; including parasitic
A68.0,130,130-136.99,Other infections; including parasitic
A68.1,130,130-136.99,Other infections; including parasitic
A68.9,130,130-136.99,Other infections; including parasitic
A69,130,130-136.99,Other infections; including parasitic
A69.0,528,527-529.99,Diseases of mouth; excluding dental
A69.1,130,130-136.99,Other infections; including parasitic
A69.2,130.1,130-136.99,Other infections; including parasitic
A69.8,130,130-136.99,Other infections; including parasitic
A69.9,130,130-136.99,Other infections; including parasitic
A70,79,050-079.99,Viral infection
A71,369,369-374.99,infection/inflammation of eye
A71.0,369,369-374.99,infection/inflammation of eye
A71.1,369,369-374.99,infection/inflammation of eye
A71.9,369,369-374.99,infection/inflammation of eye
A74,79,050-079.99,Viral infection
A74.0,369,369-374.99,infection/inflammation of eye
A74.8,79,050-079.99,Viral infection
A74.9,79,050-079.99,Viral infection
A75,136,130-136.99,Other infections; including parasitic
A75.0,136,130-136.99,Other infections; including parasitic
A75.1,136,130-136.99,Other infections; including parasitic
A75.2,136,130-136.99,Other infections; including parasitic
A75.3,136,130-136.99,Other infections; including parasitic
A75.9,136,130-136.99,Other infections; including parasitic
A77,136,130-136.99,Other infections; including parasitic
A77.0,136,130-136.99,Other infections; including parasitic
A77.1,136,130-136.99,Other infections; including parasitic
A77.2,136,130-136.99,Other infections; including parasitic
A77.3,136,130-136.99,Other infections; including parasitic
A77.8,136,130-136.99,Other infections; including parasitic
A77.9,136,130-136.99,Other infections; including parasitic
A78,480.1,480-488.99,Pneumonia and influenza
A79,136,130-136.99,Other infections; including parasitic
A79.0,136,130-136.99,Other infections; including parasitic
A79.1,136,130-136.99,Other infections; including parasitic
A79.8,136,130-136.99,Other infections; including parasitic
A79.9,136,130-136.99,Other infections; including parasitic
A80,324,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
A80.0,324,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
A80.1,324,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
A80.2,324,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
A80.3,324,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
A80.4,324,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
A80.9,324,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
A81,324,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
A81.0,324.1,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
A81.1,323,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
A81.2,324,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
A81.8,324,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
A81.9,324,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
A82,79,050-079.99,Viral infection
A82.0,79,050-079.99,Viral infection
A82.1,79,050-079.99,Viral infection
A82.9,79,050-079.99,Viral infection
A83,323,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
A83.0,323,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
A83.1,323,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
A83.2,323,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
A83.3,323,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
A83.4,323,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
A83.5,323,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
A83.6,323,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
A83.8,323,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
A83.9,323,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
A84,323,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
A84.0,323,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
A84.1,323,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
A84.8,323,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
A84.9,323,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
A85,323,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
A85.0,323,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
A85.1,323,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
A85.2,323,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
A85.8,323,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
A86,323,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
A87,320,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
A87.0,320,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
A87.1,320,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
A87.2,320,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
A87.8,320,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
A87.9,320,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
A88.0,324,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
A88.1,79,050-079.99,Viral infection
A88.1,386.2,386-386.99,conditions associated with dizziness or vertigo
A88.8,323,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
A89,323,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
A90,79,050-079.99,Viral infection
A91,79,050-079.99,Viral infection
A92,79,050-079.99,Viral infection
A92.0,79,050-079.99,Viral infection
A92.1,79,050-079.99,Viral infection
A92.2,323,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
A92.3,79,050-079.99,Viral infection
A92.4,79,050-079.99,Viral infection
A92.8,79,050-079.99,Viral infection
A92.9,79,050-079.99,Viral infection
A93,79,050-079.99,Viral infection
A93.0,79,050-079.99,Viral infection
A93.1,79,050-079.99,Viral infection
A93.2,79,050-079.99,Viral infection
A93.8,79,050-079.99,Viral infection
A94,79,050-079.99,Viral infection
A95,79,050-079.99,Viral infection
A95.0,79,050-079.99,Viral infection
A95.1,79,050-079.99,Viral infection
A95.9,79,050-079.99,Viral infection
A96,79,050-079.99,Viral infection
A96.0,79,050-079.99,Viral infection
A96.1,79,050-079.99,Viral infection
A96.2,79,050-079.99,Viral infection
A96.8,79,050-079.99,Viral infection
A96.9,79,050-079.99,Viral infection
A98,79,050-079.99,Viral infection
A98.0,79,050-079.99,Viral infection
A98.1,79,050-079.99,Viral infection
A98.2,79,050-079.99,Viral infection
A98.3,79,050-079.99,Viral infection
A98.4,79,050-079.99,Viral infection
A98.5,79,050-079.99,Viral infection
A98.8,79,050-079.99,Viral infection
A99,79,050-079.99,Viral infection
B00,54,050-079.99,Viral infection
B00.0,54,050-079.99,Viral infection
B00.1,54,050-079.99,Viral infection
B00.2,54,050-079.99,Viral infection
B00.3,320,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
B00.4,323,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
B00.5,369.2,369-374.99,infection/inflammation of eye
B00.7,38,010-041.99,bacterial infection
B00.8,79,050-079.99,Viral infection
B00.8,54,050-079.99,Viral infection
B00.9,54,050-079.99,Viral infection
B01,79.1,050-079.99,Viral infection
B01.0,320,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
B01.1,323,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
B01.2,480.2,480-488.99,Pneumonia and influenza
B01.8,79.1,050-079.99,Viral infection
B01.9,79.1,050-079.99,Viral infection
B02,53,050-079.99,Viral infection
B02.0,323,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
B02.1,320,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
B02.2,53.1,050-079.99,Viral infection
B02.3,369.2,369-374.99,infection/inflammation of eye
B02.7,53,050-079.99,Viral infection
B02.8,53,050-079.99,Viral infection
B02.9,53,050-079.99,Viral infection
B03,79,050-079.99,Viral infection
B04,79,050-079.99,Viral infection
B05,79,050-079.99,Viral infection
B05.0,323,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
B05.1,79,050-079.99,Viral infection
B05.2,480.2,480-488.99,Pneumonia and influenza
B05.3,381.1,381-385.99,otitis media and related conditions
B05.4,79,050-079.99,Viral infection
B05.8,79,050-079.99,Viral infection
B05.9,79,050-079.99,Viral infection
B06,79,050-079.99,Viral infection
B06.0,79,050-079.99,Viral infection
B06.8,79,050-079.99,Viral infection
B06.9,79,050-079.99,Viral infection
B07,78,050-079.99,Viral infection
B08.0,79,050-079.99,Viral infection
B08.1,79,050-079.99,Viral infection
B08.2,54,050-079.99,Viral infection
B08.3,79,050-079.99,Viral infection
B08.4,79,050-079.99,Viral infection
B08.5,79,050-079.99,Viral infection
B08.8,79,050-079.99,Viral infection
B09,79,050-079.99,Viral infection
B15.0,70.1,050-079.99,Viral infection
B15.9,70.1,050-079.99,Viral infection
B16,70.2,050-079.99,Viral infection
B16.0,70.2,050-079.99,Viral infection
B16.1,70.2,050-079.99,Viral infection
B16.2,70.2,050-079.99,Viral infection
B16.9,70.2,050-079.99,Viral infection
B17.0,70,050-079.99,Viral infection
B17.1,70.3,050-079.99,Viral infection
B17.2,70,050-079.99,Viral infection
B17.8,70,050-079.99,Viral infection
B18,70,050-079.99,Viral infection
B18.0,70.2,050-079.99,Viral infection
B18.1,70.2,050-079.99,Viral infection
B18.2,70.3,050-079.99,Viral infection
B18.8,70,050-079.99,Viral infection
B18.9,70,050-079.99,Viral infection
B19,70,050-079.99,Viral infection
B19.0,70,050-079.99,Viral infection
B19.9,70,050-079.99,Viral infection
B20.0,71.1,050-079.99,Viral infection
B20.1,71.1,050-079.99,Viral infection
B20.2,79,050-079.99,Viral infection
B20.2,71.1,050-079.99,Viral infection
B20.3,71.1,050-079.99,Viral infection
B20.4,71.1,050-079.99,Viral infection
B20.4,112,110-118.99,Mycoses
B20.6,480.3,480-488.99,Pneumonia and influenza
B20.6,71.1,050-079.99,Viral infection
B20.7,136,130-136.99,Other infections; including parasitic
B20.8,71.1,050-079.99,Viral infection
B21.0,230,230-230.99,Kaposi's sarcoma
B21.1,202.2,200-204.99,cancer of lymphatic and hematopoietic tissue
B21.1,71.1,050-079.99,Viral infection
B21.2,71.1,050-079.99,Viral infection
B21.3,71.1,050-079.99,Viral infection
B21.7,195.1,195-199.99,"Neoplasms: malignant, secondary or uncertain"
B21.8,71.1,050-079.99,Viral infection
B22.0,71.1,050-079.99,Viral infection
B22.0,348.8,"330-337.99, 341-349.99",hereditary/degenerative nervous conditions; other diseases of CNS
B22.1,504,500-509.99,Pneumoconioses and other lung diseases
B22.2,71.1,050-079.99,Viral infection
B22.2,798,798-798.99,Malaise and fatigue
B22.2,260.1,260-264.99,Nutritional deficiencies
B22.7,71.1,050-079.99,Viral infection
B23.0,71.1,050-079.99,Viral infection
B23.0,79,050-079.99,Viral infection
B23.0,136,130-136.99,Other infections; including parasitic
B23.2,71.1,050-079.99,Viral infection
