	file-startTime	file-deviceID	quality-goodCalibration	quality-goodWearTime	quality-daylightSavingsCrossover
5203189	2014-07-24 10:00:02	10350	1.0	1	0.0
3206696	2015-07-13 10:00:04	10425	1.0	1	0.0
1943627	2014-07-14 10:00:07	1953	1.0	1	0.0
4207482	2015-01-31 10:00:07	3542	1.0	1	0.0
3770672	2015-07-22 10:00:03	10081	1.0	1	0.0
6015110	2015-01-14 10:00:04	15223	1.0	1	0.0
3977351	2014-05-27 10:00:06	4390	1.0	1	0.0
1522468	2015-07-24 10:00:05	10066	1.0	1	0.0
5856302	2013-12-20 10:00:05	3572	1.0	1	0.0
1070887	2015-10-29 10:00:07	4115	1.0	1	0.0
1170864	2015-11-26 10:00:05	16078	1.0	1	0.0
5832684	2015-11-19 10:00:05	4451	1.0	0	0.0
4674372	2014-09-05 10:00:04	15794	1.0	1	0.0
1335758	2015-02-04 10:00:07	4049	1.0	1	0.0
2042638	2015-06-04 10:00:05	10030	1.0	1	0.0
4506907	2014-07-11 10:00:03	2220	1.0	1	0.0
3921171	2015-07-02 10:00:05	10596	1.0	1	0.0
2232327	2013-11-18 10:00:06	10225	1.0	1	0.0
3743059	2014-10-06 10:00:05	10217	1.0	1	0.0
2125019	2014-08-11 10:00:05	15474	1.0	1	0.0
1021017	2015-09-25 10:00:03	15495	1.0	1	0.0
5696433	2015-03-06 10:00:06	4107	1.0	1	0.0
1441436	2015-04-16 10:00:05	15622	1.0	1	0.0
4111736	2015-08-14 10:00:03	2028	1.0	0	0.0
4738739	2015-12-19 10:00:06	10287	1.0	1	0.0
5432767	2015-10-10 10:00:05	3582	1.0	1	0.0
2632604	2014-04-05 10:00:07	3553	1.0	1	0.0
1240495	2015-08-21 10:00:06	4407	1.0	1	1.0
2229144	2014-04-12 10:00:06	10033	1.0	1	0.0
3423825	2015-04-29 10:00:04	3510	1.0	1	0.0
1460016	2015-11-04 10:00:05	2622	1.0	1	0.0
4553553	2014-10-29 10:00:03	4369	1.0	1	0.0
5399196	2013-10-04 10:00:02	4783	1.0	1	0.0
5419081	2015-03-06 10:00:04	2732	1.0	1	0.0
2594663	2015-01-28 10:00:03	2885	1.0	1	0.0
5173069	2015-05-14 10:00:07	3603	1.0	1	0.0
2273630	2015-08-28 10:00:04	4758	1.0	1	0.0
5630409	2013-10-09 10:00:04	3645	1.0	1	0.0
3601548	2015-12-09 10:00:06	15840	1.0	1	0.0
3117044	2015-10-31 10:00:04	2947	1.0	1	0.0
1107022	2014-12-20 10:00:03	3509	1.0	1	0.0
5478118	2015-06-18 10:00:05	3352	1.0	1	0.0
2233670	2014-07-12 10:00:06	15659	1.0	1	0.0
5759129	2013-08-17 10:00:04	15451	1.0	1	0.0
1606498	2015-07-27 10:00:03	3700	1.0	1	0.0
4599356	2015-02-11 10:00:05	15456	1.0	1	0.0
5616991	2015-04-29 10:00:04	3633	1.0	1	0.0
5193337	2015-09-26 10:00:04	3254	1.0	1	0.0
2373859	2015-11-26 10:00:04	1697	1.0	1	0.0
1462557	2014-09-01 10:00:05	3052	1.0	1	0.0
4644947	2015-10-16 10:00:07	2455	1.0	1	0.0
3082620	2014-05-31 10:00:04	10563	1.0	1	0.0
1271969	2014-03-27 10:00:05	3661	1.0	1	0.0
2778786	2013-10-19 10:00:06	4607	1.0	1	0.0
2866688	2015-02-20 10:00:05	4069	1.0	1	0.0
4943175	2015-09-30 10:00:02	4986	1.0	1	0.0
1174226	2015-12-12 10:00:04	2248	1.0	1	0.0
5991894	2015-02-09 10:00:07	3023	1.0	1	0.0
5413106	2015-05-20 10:00:04	13891	1.0	1	0.0
3104975	2015-06-18 10:00:02	1853	1.0	1	0.0
5111616	2015-07-24 10:00:05	3746	1.0	1	0.0
4720222	2014-09-03 10:00:06	10084	1.0	1	0.0
4177053	2013-10-31 10:00:04	4008	1.0	0	0.0
5506414	2015-02-05 10:00:02	2302	1.0	1	0.0
4849351	2014-03-07 10:00:03	16094	1.0	1	0.0
4484298	2015-02-14 10:00:04	10512	0.0	1	0.0
4381695	2015-08-13 10:00:06	16292	1.0	1	0.0
2387870	2014-09-12 10:00:05	10249	1.0	0	0.0
2078020	2015-04-13 10:00:07	4641	1.0	1	0.0
1864637	2015-01-08 10:00:03	3461	1.0	1	0.0
5575070	2014-01-11 10:00:02	3129	1.0	1	0.0
3669605	2014-02-24 10:00:05	10274	1.0	1	0.0
2097693	2015-11-28 10:00:03	3363	1.0	1	0.0
2074932	2015-04-30 10:00:03	1912	1.0	1	0.0
2364103	2015-06-18 10:00:06	2933	1.0	1	0.0
4550074	2014-02-08 10:00:05	2393	0.0	1	0.0
4781396	2013-10-21 10:00:02	3756	1.0	1	0.0
2086812	2013-08-12 10:00:04	15405	1.0	1	0.0
5216238	2014-07-21 10:00:05	4917	1.0	1	0.0
4449972	2014-04-11 10:00:06	2310	1.0	1	0.0
4524291	2015-05-15 10:00:04	15225	1.0	1	1.0
3330372	2013-11-02 10:00:07	10427	1.0	1	0.0
2131073	2014-09-29 09:58:39	2369	1.0	1	0.0
3720678	2013-11-06 10:00:06	15532	1.0	1	0.0
3644494	2015-02-02 10:00:02	2374	1.0	1	0.0
1156708	2014-12-20 10:00:04	4658	1.0	1	0.0
3315730	2013-11-28 10:00:04	3633	1.0	1	0.0
2191161	2015-05-15 10:00:03	10530	1.0	1	0.0
2034249	2015-02-28 10:00:03	4084	1.0	1	0.0
3188701	2015-11-27 10:00:04	2695	1.0	1	0.0
2254926	2013-07-27 10:00:02	10067	1.0	1	0.0
2456067	2015-10-15 10:00:02	4275	1.0	1	0.0
1967360	2013-12-16 10:00:05	4703	1.0	1	0.0
4288881	2014-10-04 10:00:06	3409	1.0	1	0.0
2761572	2013-07-05 10:00:06	10551	1.0	1	0.0
4277204	2015-09-12 10:00:07	4332	1.0	1	0.0
4443614	2015-01-28 10:00:06	17345	1.0	1	0.0
3794073	2014-01-11 10:00:07	14703	1.0	1	1.0
5042526	2014-05-17 10:00:04	2912	1.0	1	0.0
2163834	2015-04-20 10:00:04	4510	1.0	1	0.0
3237271	2015-01-29 10:00:04	10061	1.0	1	0.0
4713360	2013-07-17 10:00:03	4393	1.0	1	0.0
1261171	2015-01-24 10:00:02	14691	1.0	1	0.0
1599926	2013-10-28 10:00:03	2299	1.0	1	0.0
2054504	2014-02-10 10:00:03	4584	1.0	1	0.0
2875547	2015-02-05 10:00:05	2697	1.0	1	0.0
1732786	2013-08-24 10:00:05	10269	1.0	1	1.0
2914293	2014-08-18 10:00:06	4531	1.0	1	0.0
4343973	2015-09-19 10:00:05	10293	1.0	1	0.0
4964042	2015-11-02 10:00:06	4616	1.0	1	0.0
3140423	2015-10-26 10:00:04	4659	1.0	1	0.0
4436135	2014-10-20 10:00:03	4637	1.0	1	0.0
1253619	2015-05-11 10:00:03	4486	1.0	1	0.0
4327073	2015-07-23 10:00:03	3716	1.0	1	0.0
2001948	2015-07-24 10:00:04	16288	1.0	1	0.0
1011685	2014-01-31 10:00:04	2915	1.0	1	0.0
3550998	2014-09-20 10:00:05	1054	1.0	1	0.0
2902943	2014-08-14 10:00:02	2984	1.0	1	0.0
4286120	2014-01-29 10:00:07	3593	1.0	1	0.0
1380444	2014-07-11 10:00:07	2793	1.0	1	0.0
3769704	2013-12-21 10:00:07	10537	1.0	1	1.0
1710627	2014-07-23 10:00:04	16118	1.0	1	0.0
2415923	2015-05-23 10:00:05	4780	0.0	1	0.0
4317331	2015-12-04 10:00:02	15926	1.0	1	0.0
2558303	2014-02-08 09:59:03	14685	1.0	1	0.0
3606304	2014-12-17 10:00:02	2470	1.0	1	0.0
5070827	2015-02-21 10:00:05	15822	1.0	1	1.0
1870808	2013-12-20 10:00:04	15488	1.0	1	0.0
4615529	2015-07-08 10:00:04	2908	0.0	0	0.0
2116765	2015-05-08 10:00:03	10263	1.0	1	0.0
1268604	2013-07-05 10:00:05	2598	1.0	1	0.0
5889611	2015-11-20 10:00:04	3612	1.0	1	0.0
2714278	2014-06-09 10:00:06	4552	1.0	0	0.0
2879938	2014-09-20 09:59:34	17001	1.0	1	0.0
3036684	2015-06-12 10:00:06	3869	1.0	1	0.0
2745368	2014-06-21 10:00:02	10208	1.0	1	0.0
4361115	2013-12-05 10:00:04	10249	1.0	1	0.0
4893853	2014-09-12 10:00:05	15746	1.0	1	0.0
3432740	2014-11-15 10:00:05	15859	0.0	1	1.0
5483117	2013-12-02 10:00:05	2521	1.0	1	0.0
1500912	2015-05-28 09:58:58	4209	1.0	0	0.0
4735862	2013-10-31 10:00:05	2310	1.0	1	0.0
2151754	2014-09-13 10:00:06	3798	1.0	1	0.0
1629386	2014-12-17 10:00:07	2732	1.0	1	0.0
3505279	2014-06-25 10:00:04	3607	1.0	1	0.0
2414449	2015-01-24 10:00:03	3426	1.0	1	0.0
4111800	2013-11-20 10:00:02	2570	1.0	1	0.0
4680248	2015-11-28 10:00:04	10128	1.0	1	0.0
2767174	2014-03-05 10:00:06	4289	1.0	1	0.0
1285464	2015-06-25 10:00:04	1941	1.0	1	0.0
1385083	2014-09-19 10:00:03	14714	1.0	1	0.0
2065415	2014-03-15 10:00:03	3568	1.0	1	0.0
2918466	2015-01-24 10:00:06	1411	1.0	1	0.0
1716080	2015-07-02 10:00:04	4525	1.0	1	0.0
3885042	2014-01-15 10:00:05	2333	1.0	1	0.0
2581864	2014-03-01 10:00:02	4905	1.0	1	0.0
4484300	2013-12-18 10:00:03	4312	1.0	1	0.0
3070131	2013-07-10 10:00:06	1429	1.0	1	0.0
2155720	2015-07-10 10:00:03	2204	1.0	1	0.0
1910509	2014-12-20 10:00:05	4058	1.0	1	0.0
2031745	2015-07-31 10:00:05	2552	0.0	1	0.0
1999151	2014-05-14 10:00:05	15232	1.0	1	0.0
2312126	2015-05-11 10:00:05	2645	1.0	1	0.0
5375712	2013-10-07 10:00:04	4536	1.0	1	0.0
3873522	2013-10-28 10:00:02	2992	1.0	1	0.0
3500767	2015-05-01 10:00:05	4517	1.0	1	0.0
3366862	2014-03-19 10:00:03	10589	1.0	1	0.0
5243197	2015-08-29 10:00:02	3927	1.0	1	0.0
1961189	2015-04-08 10:00:05	2657	1.0	1	0.0
2389608	2015-10-24 10:00:04	2021	1.0	1	0.0
3028671	2013-11-02 10:00:07	15452	1.0	1	0.0
2740107	2015-03-27 10:00:05	3798	1.0	1	0.0
4989430	2015-03-28 10:00:07	15613	1.0	1	0.0
4897065	2014-06-16 10:00:04	1198	1.0	1	0.0
1826457	2015-09-04 10:00:06	3496	1.0	1	0.0
5890607	2013-11-22 10:00:02	3186	1.0	1	0.0
5953412	2014-10-08 10:00:06	15831	1.0	1	0.0
3229286	2014-11-28 10:00:05	2263	1.0	1	0.0
1844673	2014-11-21 10:00:02	16337	1.0	1	0.0
1149289	2015-05-01 10:00:03	2209	1.0	1	0.0
3874314	2014-07-11 10:00:06	2783	1.0	1	0.0
4594299	2015-03-28 10:00:04	4473	1.0	1	0.0
3886312	2014-07-28 10:00:05	10067	0.0	0	0.0
3275998	2014-09-11 10:00:06	3523	1.0	1	0.0
5738869	2015-07-17 10:00:02	3597	1.0	1	0.0
1014261	2015-10-30 10:00:06	10485	1.0	1	0.0
5459699	2015-01-10 10:00:06	4091	1.0	1	0.0
1789635	2013-10-21 10:00:04	3522	1.0	1	0.0
3755025	2013-12-05 10:00:02	4427	1.0	1	0.0
3506925	2014-06-21 10:00:06	3548	1.0	1	0.0
2156715	2015-12-09 10:00:02	4802	1.0	1	0.0
4688145	2015-04-09 10:00:03	10554	1.0	1	1.0
1517724	2014-04-30 10:00:02	10496	1.0	1	0.0
5138346	2014-10-04 10:00:04	16154	1.0	1	0.0
3667831	2013-10-16 10:00:06	15840	1.0	1	0.0
4928517	2014-09-04 10:00:05	3273	1.0	1	0.0
5528273	2013-12-07 10:00:03	13686	1.0	1	0.0
4109957	2015-07-03 10:00:06	16464	1.0	1	0.0
4736853	2014-08-23 10:00:05	2555	1.0	1	0.0
3784922	2015-04-27 10:00:05	4533	1.0	1	0.0
4126106	2015-02-20 10:00:04	15831	1.0	1	0.0
2073937	2015-10-01 10:00:04	16178	1.0	1	0.0
2939228	2014-05-09 10:00:02	15941	1.0	1	0.0
1999010	2014-06-23 10:00:06	1917	1.0	1	0.0
1424448	2015-11-02 10:00:04	10588	1.0	1	0.0
4577524	2014-07-26 10:00:06	4260	1.0	1	0.0
3364938	2015-07-13 10:00:04	3910	1.0	1	0.0
2721211	2014-01-25 10:00:05	10046	1.0	1	0.0
2778509	2015-01-12 10:00:06	1399	1.0	1	0.0
4708861	2014-05-09 10:00:06	3249	1.0	1	0.0
2236674	2014-07-17 10:00:07	13695	1.0	1	0.0
5733538	2014-09-12 10:00:04	4540	1.0	1	1.0
2653432	2014-06-11 10:00:03	4253	1.0	1	0.0
1249406	2015-08-14 10:00:06	15494	1.0	1	0.0
3463073	2013-10-04 10:00:06	3926	1.0	1	0.0
1331591	2014-03-08 10:00:04	15457	1.0	1	0.0
4833499	2014-07-24 10:00:03	15698	1.0	1	0.0
5300016	2015-10-01 10:00:03	4024	1.0	1	0.0
1709086	2015-02-14 10:00:05	3116	1.0	0	1.0
2064486	2014-04-14 10:00:04	15409	1.0	1	0.0
5248076	2014-09-03 10:00:03	3375	1.0	1	0.0
1134025	2015-07-04 10:00:06	15795	1.0	1	0.0
3786282	2013-07-05 10:00:07	2131	1.0	1	0.0
2734088	2015-10-16 10:00:05	15492	1.0	1	0.0
3357210	2013-08-03 10:00:05	2455	1.0	1	0.0
4304031	2015-06-18 10:00:07	2732	1.0	1	0.0
5654602	2014-05-14 10:00:05	15947	1.0	1	0.0
3254967	2015-04-15 10:00:02	4686	1.0	1	0.0
5170276	2015-06-04 10:00:03	2752	1.0	1	0.0
2932545	2015-11-25 10:00:06	4930	1.0	1	0.0
3075358	2013-12-05 10:00:05	10276	1.0	1	0.0
4853368	2015-11-18 10:00:03	4405	1.0	0	0.0
1182036	2014-02-14 10:00:05	14715	1.0	1	0.0
5722254	2014-08-09 10:00:03	15248	1.0	1	0.0
3251780	2013-10-21 10:00:07	10084	1.0	1	0.0
2571428	2014-12-06 09:58:08	3106	1.0	1	0.0
5414047	2014-08-07 10:00:07	16306	1.0	0	0.0
2773506	2014-07-26 10:00:06	4139	1.0	1	0.0
5107031	2015-10-15 10:00:07	10252	1.0	0	0.0
5777288	2013-10-14 10:00:06	2160	1.0	1	0.0
4319697	2015-05-23 10:00:07	4666	1.0	1	0.0
1639652	2015-11-16 10:00:03	15423	1.0	1	0.0
1061849	2014-07-02 10:00:02	4996	1.0	1	0.0
4112779	2013-10-24 10:00:03	4366	1.0	0	0.0
4992043	2014-07-25 10:00:04	4541	1.0	1	0.0
4926016	2014-04-12 10:00:04	3347	1.0	1	0.0
5739574	2015-09-19 10:00:05	2588	1.0	1	0.0
1107416	2015-08-08 10:00:03	2902	1.0	1	0.0
1164346	2015-12-11 10:00:06	15673	1.0	1	0.0
1494633	2015-01-28 10:00:07	10643	1.0	1	0.0
4374366	2015-04-24 10:00:03	3334	1.0	1	0.0
2447990	2014-12-15 10:00:04	10100	0.0	1	0.0
3295042	2014-05-17 10:00:03	2648	1.0	1	0.0
1210150	2014-01-25 10:00:04	2624	1.0	1	0.0
3332943	2015-04-11 10:00:03	2812	1.0	1	0.0
1333913	2015-08-10 10:00:04	13602	1.0	1	0.0
5255440	2014-12-12 10:00:05	16167	1.0	1	0.0
5714798	2014-02-14 10:00:07	15864	1.0	1	0.0
1888931	2014-10-23 10:00:02	16234	1.0	1	0.0
5365819	2013-12-07 10:00:04	3227	1.0	1	0.0
3031228	2014-06-05 10:00:03	14570	1.0	1	0.0
5781135	2015-02-23 10:00:04	10318	1.0	1	0.0
4268092	2015-02-12 10:00:05	16222	1.0	1	0.0
4053259	2013-11-21 10:00:06	4338	1.0	1	0.0
2409716	2015-11-11 10:00:05	15899	1.0	1	0.0
2941231	2014-05-17 10:00:04	14699	1.0	1	0.0
2116481	2014-02-10 10:00:05	4841	1.0	1	0.0
4077479	2014-08-23 10:00:05	10499	1.0	1	0.0
2817710	2015-10-30 10:00:06	15903	1.0	1	0.0
4639834	2015-07-31 10:00:05	2027	1.0	1	0.0
5962581	2014-02-15 10:00:06	2652	1.0	1	0.0
3942658	2014-03-10 10:00:06	3263	1.0	1	0.0
2739953	2014-11-20 10:00:06	2880	1.0	1	0.0
2529946	2015-10-15 10:00:03	13870	1.0	0	0.0
5299672	2015-05-23 10:00:05	3851	1.0	1	0.0
1389956	2015-10-02 10:00:04	3222	1.0	0	0.0
3609833	2013-11-18 10:00:03	3395	1.0	0	0.0
4224905	2015-03-06 10:00:06	4516	1.0	1	0.0
4056949	2014-09-06 10:00:05	3956	1.0	1	0.0
1890839	2014-09-22 10:00:04	18491	1.0	1	0.0
2043229	2014-02-20 10:00:02	10411	1.0	1	0.0
4889070	2015-11-06 10:00:06	4088	1.0	1	0.0
4727817	2015-09-12 10:00:04	3262	1.0	1	0.0
2809799	2015-12-19 10:00:05	16085	1.0	1	0.0
5681229	2014-10-29 10:00:07	10588	1.0	1	0.0
2874774	2014-09-19 10:00:05	15449	1.0	1	0.0
1113384	2014-01-25 10:00:05	4901	1.0	1	1.0
5548081	2015-01-15 10:00:05	4533	1.0	1	0.0
3595056	2014-06-30 10:00:02	4923	1.0	1	0.0
1263054	2014-02-08 10:00:06	2873	1.0	1	0.0
1585797	2015-08-24 10:00:05	4525	1.0	1	0.0
3459189	2014-05-10 10:00:05	4730	1.0	1	0.0
1478989	2015-01-10 10:00:04	2775	1.0	1	0.0
1088432	2014-09-13 10:00:05	15904	1.0	1	0.0
5331610	2015-12-11 10:00:04	10483	1.0	1	0.0
5153578	2014-02-21 10:00:07	15957	1.0	1	0.0
1372368	2015-07-30 10:00:04	3632	1.0	1	0.0
2548657	2015-06-10 10:00:05	3935	1.0	1	0.0
1507789	2014-10-24 10:00:04	10608	1.0	0	0.0
5677788	2014-11-21 10:00:07	16358	1.0	1	0.0
5070580	2014-03-24 10:00:06	4301	1.0	1	0.0
5264973	2014-01-09 10:00:07	3132	1.0	1	0.0
3209222	2014-05-23 10:00:03	1100	1.0	1	0.0
2153929	2014-06-28 10:00:03	2793	1.0	1	0.0
2936695	2013-12-20 10:00:05	10285	1.0	1	0.0
1751233	2015-03-20 10:00:06	4606	1.0	1	0.0
2034257	2014-02-13 10:00:07	4137	1.0	1	0.0
4439724	2015-10-15 10:00:05	10236	1.0	1	0.0
1053926	2014-07-14 10:00:06	4910	1.0	1	0.0
1000146	2014-01-25 10:00:04	3815	1.0	1	0.0
5061878	2014-07-31 10:00:04	15557	1.0	1	0.0
1872584	2014-06-11 10:00:03	10451	1.0	0	0.0
3058256	2014-06-19 10:00:04	15437	1.0	1	0.0
4218237	2014-03-08 10:00:07	16192	1.0	1	0.0
4091465	2015-06-06 10:00:04	2613	1.0	1	0.0
3860349	2014-11-01 10:00:04	10057	0.0	1	0.0
3578304	2014-06-28 10:00:06	17270	1.0	1	0.0
3124872	2015-08-07 10:00:04	2284	1.0	1	0.0
1257120	2015-05-22 10:00:07	4293	1.0	1	0.0
5285627	2015-10-28 10:00:03	10044	1.0	1	0.0
4500852	2015-03-16 10:00:07	2892	1.0	1	0.0
3519149	2015-05-08 10:00:06	3484	1.0	1	0.0
5757564	2015-04-20 10:00:06	4549	1.0	1	0.0
1715530	2014-10-23 10:00:04	10439	1.0	1	0.0
4313914	2014-09-03 10:00:02	4622	1.0	1	0.0
4851856	2015-03-02 09:58:56	4349	1.0	1	0.0
3590928	2015-08-29 10:00:05	3538	1.0	1	0.0
1298858	2015-04-23 10:00:05	1752	1.0	1	0.0
3609345	2015-01-10 10:00:05	2324	1.0	0	0.0
2586337	2015-11-16 10:00:05	10335	1.0	1	0.0
1328763	2013-11-13 10:00:05	3220	0.0	1	0.0
2284327	2014-03-21 10:00:03	4261	1.0	1	0.0
4456834	2015-08-21 10:00:07	10505	1.0	1	0.0
2652734	2014-09-29 10:00:02	15696	1.0	1	0.0
4607991	2013-10-21 10:00:07	15913	1.0	1	0.0
3039182	2015-03-30 10:00:06	3109	1.0	1	0.0
5632755	2015-03-20 10:00:03	2131	1.0	1	0.0
5939178	2015-10-31 10:00:03	3679	1.0	1	0.0
4160168	2014-03-15 10:00:05	3668	1.0	1	0.0
4580279	2014-12-13 10:00:06	2241	1.0	1	0.0
2453501	2015-06-27 10:00:04	15588	1.0	1	0.0
2789941	2015-03-06 10:00:07	3491	1.0	1	0.0
2071188	2014-03-14 10:00:05	3478	1.0	1	1.0
5994512	2014-08-28 10:00:05	2036	1.0	1	0.0
4175594	2014-09-29 10:00:04	10061	1.0	1	0.0
1969442	2013-12-07 10:00:06	15547	1.0	1	0.0
4904691	2014-04-14 10:00:03	15893	1.0	1	0.0
3496894	2015-12-09 10:00:06	4923	1.0	1	0.0
1892787	2014-02-19 10:00:07	15523	1.0	1	0.0
1804942	2015-08-13 10:00:05	4674	1.0	1	0.0
3579454	2014-01-27 10:00:03	3987	1.0	0	0.0
3385153	2014-08-15 10:00:06	4917	1.0	1	0.0
2327913	2015-08-19 10:00:06	16325	1.0	1	0.0
2336793	2015-06-11 10:00:07	4079	1.0	1	0.0
3257797	2015-01-14 10:00:06	3621	1.0	1	0.0
2485057	2014-02-28 10:00:05	2562	1.0	1	0.0
5994915	2015-05-26 10:00:03	15760	1.0	1	0.0
4308103	2015-10-02 10:00:05	3296	1.0	1	0.0
1281670	2014-12-08 10:00:07	15975	1.0	1	0.0
4626490	2014-05-12 10:00:07	10128	1.0	1	0.0
5281655	2014-11-03 10:00:05	2087	1.0	1	0.0
5028245	2014-07-16 10:00:05	4243	1.0	1	0.0
5240850	2014-10-04 10:00:06	3723	1.0	1	0.0
4005168	2015-04-23 10:00:05	14615	1.0	1	0.0
3392127	2015-09-12 10:00:04	3048	1.0	1	0.0
3285114	2015-06-01 10:00:06	15792	1.0	1	0.0
2808879	2015-12-02 10:00:02	2706	1.0	1	0.0
4733680	2015-09-18 10:00:04	3938	1.0	1	0.0
3950913	2014-09-13 10:00:04	1529	1.0	0	0.0
2016872	2015-04-07 10:00:06	10118	1.0	1	0.0
2688903	2015-01-14 10:00:04	3845	1.0	1	0.0
5810928	2013-10-24 10:00:03	16218	1.0	1	0.0
2382663	2015-02-21 10:00:04	4277	1.0	1	0.0
2915255	2015-07-24 10:00:07	3204	1.0	1	0.0
2352279	2014-03-07 10:00:05	15887	1.0	1	0.0
1188149	2014-09-12 10:00:07	10466	1.0	1	0.0
4140312	2015-07-23 10:00:04	15539	1.0	1	0.0
1020028	2015-06-29 10:00:05	3620	1.0	1	0.0
5315755	2015-06-17 10:00:03	16451	1.0	1	0.0
4508229	2015-09-25 10:00:02	16327	1.0	1	0.0
1780019	2014-11-17 10:00:03	4526	1.0	1	0.0
2794296	2015-02-25 10:00:03	10303	1.0	0	0.0
1363725	2014-09-27 10:00:05	4841	1.0	1	0.0
3759101	2014-12-01 10:00:06	16367	1.0	1	0.0
5666616	2013-06-10 10:00:07	14798	1.0	1	0.0
1600065	2013-12-19 10:00:05	15584	1.0	1	0.0
4147719	2014-09-08 10:00:08	3417	1.0	1	0.0
1675455	2014-06-16 10:00:04	16543	1.0	1	0.0
1922020	2013-07-04 10:00:02	10061	1.0	1	0.0
3904760	2015-10-26 10:00:03	3228	1.0	1	0.0
2177199	2015-01-09 10:00:03	10497	1.0	1	0.0
4178112	2014-03-10 10:00:05	4389	1.0	1	0.0
5287861	2013-11-15 10:00:03	3211	1.0	1	0.0
5877331	2013-07-10 10:00:06	4295	1.0	1	0.0
2699790	2015-03-21 10:00:05	4967	1.0	1	0.0
3349996	2014-05-16 10:00:03	4030	1.0	1	0.0
1309822	2014-06-19 10:00:07	15237	1.0	1	0.0
5416900	2015-01-14 10:00:05	4496	1.0	1	0.0
1753215	2014-06-30 10:00:06	3617	1.0	1	0.0
3902267	2014-04-05 10:00:07	2964	1.0	1	0.0
1699923	2015-11-26 10:00:05	4318	1.0	1	0.0
2614093	2014-03-27 10:00:03	3972	1.0	1	0.0
1686639	2014-10-20 10:00:03	3918	1.0	1	0.0
4733959	2014-09-08 10:00:02	10337	1.0	1	0.0
5557319	2015-08-20 10:00:03	16231	1.0	1	0.0
3659262	2014-07-11 10:00:06	16151	1.0	1	0.0
2195887	2014-04-30 10:00:03	4961	1.0	1	0.0
3217672	2013-11-30 10:00:04	4001	1.0	1	0.0
1306489	2013-11-15 10:00:02	3042	0.0	1	0.0
1835316	2015-08-19 10:00:05	2502	1.0	1	0.0
2844296	2014-06-04 10:00:02	4693	1.0	1	0.0
1457720	2015-03-27 10:00:04	3559	1.0	1	0.0
3652711	2015-11-19 10:00:05	4918	1.0	1	0.0
2583649	2014-01-15 10:00:04	3113	1.0	1	0.0
2898388	2013-11-16 10:00:02	4835	1.0	1	0.0
